run,epoch,medw_rot,medw_r,medw_p,medw_y,jac_overall,jac_r,jac_p,jac_y,jac_verdict
model_small_5deg_v40_gmp_p0ab_5deg_main,1,0.3169,0.1911,0.1687,0.1129,-3.573,-14.737,-0.119,4.138,WEAK
model_small_5deg_v40_gmp_p0ab_5deg_main,11,0.2877,0.2152,0.1307,0.0706,-1.116,-5.961,-0.096,2.711,WEAK
model_small_5deg_v40_gmp_p0ab_5deg_main,21,0.1665,0.0873,0.0883,0.0753,-2.777,-8.945,-0.121,0.735,WEAK
model_small_5deg_v40_gmp_p0ab_5deg_main,31,0.1881,0.1344,0.0822,0.0661,-3.524,-13.713,-0.155,3.296,WEAK
model_small_5deg_v40_gmp_p0ab_5deg_main,41,0.1693,0.1215,0.0511,0.0881,-3.048,-6.987,-0.113,-2.045,WEAK
model_small_5deg_v40_gmp_full_5deg_main,1,0.3622,0.2266,0.1864,0.1326,-3.77,-16.067,-0.112,4.869,WEAK
model_small_5deg_v40_gmp_full_5deg_main,11,0.2402,0.1109,0.1348,0.1181,-4.299,-15.378,-0.126,2.607,WEAK
model_small_5deg_v40_gmp_full_5deg_main,21,0.5326,0.1815,0.4414,0.1548,-3.054,-8.391,-0.093,-0.678,WEAK
model_small_5deg_v40_gmp_full_5deg_main,31,0.3084,0.2019,0.1406,0.1249,-3.27,-14.315,-0.06,4.564,WEAK
model_small_5deg_v40_gmp_full_5deg_main,41,0.2859,0.1417,0.1917,0.1162,-3.449,-7.24,-0.076,-3.031,WEAK
model_small_5deg_v40_gmp_full_5deg_main,51,0.3394,0.1535,0.254,0.0972,-3.009,-6.813,-0.109,-2.105,WEAK
